in:Depth [m],in:Width [m],in:Floors,in:Orientation,in:WWR [%],in:Vertical Surface Area [sqm],out:Heating [pEUI],out:Cooling [pEUI],out:Lighting [pEUI],Total Energy [pEUI],img,threeD
50,50,13,0,40,"11,700",28.4,19.8,24,164.8,https://harrssaty.github.io/Prism/img/BoxBuilding.gif,https://tt-acm.github.io/DesignExplorer/design_explorer_data/AIAbuilding/10.0_12.0_24.0_66.0_18.0_-8.0_2.0_9.0_0.0_Perspective.png
59,50,11,0,40,"10,791",26.2,19.1,26.1,163,https://harrssaty.github.io/Prism/img/BoxBuilding.gif,https://tt-acm.github.io/DesignExplorer/design_explorer_data/AIAbuilding/10.0_12.0_24.0_66.0_18.0_-8.0_2.0_9.0_0.0_Perspective.png
72,50,9,0,40,"9,882",24,18.5,27.4,159.8,https://harrssaty.github.io/Prism/img/BoxBuilding.gif,https://tt-acm.github.io/DesignExplorer/design_explorer_data/AIAbuilding/10.0_12.0_24.0_66.0_18.0_-8.0_2.0_9.0_0.0_Perspective.png
93,50,7,0,40,"9,009",21.9,18.1,28.1,156.6,https://harrssaty.github.io/Prism/img/BoxBuilding.gif,https://tt-acm.github.io/DesignExplorer/design_explorer_data/AIAbuilding/10.0_12.0_24.0_66.0_18.0_-8.0_2.0_9.0_0.0_Perspective.png
130,50,5,0,40,"8,100",19.7,17.2,29.3,153.4,https://harrssaty.github.io/Prism/img/BoxBuilding.gif,https://tt-acm.github.io/DesignExplorer/design_explorer_data/AIAbuilding/10.0_12.0_24.0_66.0_18.0_-8.0_2.0_9.0_0.0_Perspective.png
50,50,13,0,20,"11,700",27.2,18.2,27.7,163.2,https://harrssaty.github.io/Prism/img/BoxBuilding.gif,https://tt-acm.github.io/DesignExplorer/design_explorer_data/AIAbuilding/10.0_12.0_24.0_66.0_18.0_-8.0_2.0_9.0_0.0_Perspective.png
59,50,11,0,20,"10,791",26,17.9,29,161.9,https://harrssaty.github.io/Prism/img/BoxBuilding.gif,https://tt-acm.github.io/DesignExplorer/design_explorer_data/AIAbuilding/10.0_12.0_24.0_66.0_18.0_-8.0_2.0_9.0_0.0_Perspective.png
72,50,9,0,20,"9,882",23.8,17.1,29.9,158.8,https://harrssaty.github.io/Prism/img/BoxBuilding.gif,https://tt-acm.github.io/DesignExplorer/design_explorer_data/AIAbuilding/10.0_12.0_24.0_66.0_18.0_-8.0_2.0_9.0_0.0_Perspective.png
93,50,7,0,20,"9,009",21.7,16.6,31.1,155.1,https://harrssaty.github.io/Prism/img/BoxBuilding.gif,https://tt-acm.github.io/DesignExplorer/design_explorer_data/AIAbuilding/10.0_12.0_24.0_66.0_18.0_-8.0_2.0_9.0_0.0_Perspective.png
130,50,5,0,20,"8,100",19.5,15.9,32.3,152.1,https://harrssaty.github.io/Prism/img/BoxBuilding.gif,https://tt-acm.github.io/DesignExplorer/design_explorer_data/AIAbuilding/10.0_12.0_24.0_66.0_18.0_-8.0_2.0_9.0_0.0_Perspective.png
50,50,13,15,40,"11,700",28.3,19.8,23.8,164.4,https://harrssaty.github.io/Prism/img/BoxBuilding.gif,https://tt-acm.github.io/DesignExplorer/design_explorer_data/AIAbuilding/10.0_12.0_24.0_66.0_18.0_-8.0_2.0_9.0_0.0_Perspective.png
59,50,11,15,40,"10,791",26.1,19.1,25.9,162.5,https://harrssaty.github.io/Prism/img/BoxBuilding.gif,https://tt-acm.github.io/DesignExplorer/design_explorer_data/AIAbuilding/10.0_12.0_24.0_66.0_18.0_-8.0_2.0_9.0_0.0_Perspective.png
72,50,9,15,40,"9,882",23.9,18.4,27.2,159.4,https://harrssaty.github.io/Prism/img/BoxBuilding.gif,https://tt-acm.github.io/DesignExplorer/design_explorer_data/AIAbuilding/10.0_12.0_24.0_66.0_18.0_-8.0_2.0_9.0_0.0_Perspective.png
93,50,7,15,40,"9,009",21.8,18,27.9,156.1,https://harrssaty.github.io/Prism/img/BoxBuilding.gif,https://tt-acm.github.io/DesignExplorer/design_explorer_data/AIAbuilding/10.0_12.0_24.0_66.0_18.0_-8.0_2.0_9.0_0.0_Perspective.png
130,50,5,15,40,"8,100",19.6,17.2,29.1,153,https://harrssaty.github.io/Prism/img/BoxBuilding.gif,https://tt-acm.github.io/DesignExplorer/design_explorer_data/AIAbuilding/10.0_12.0_24.0_66.0_18.0_-8.0_2.0_9.0_0.0_Perspective.png
50,50,13,30,40,"11,700",28.3,19.8,23.6,164.3,https://harrssaty.github.io/Prism/img/BoxBuilding.gif,https://tt-acm.github.io/DesignExplorer/design_explorer_data/AIAbuilding/10.0_12.0_24.0_66.0_18.0_-8.0_2.0_9.0_0.0_Perspective.png
59,50,11,30,40,"10,791",26.1,19,25.7,162.4,https://harrssaty.github.io/Prism/img/BoxBuilding.gif,https://tt-acm.github.io/DesignExplorer/design_explorer_data/AIAbuilding/10.0_12.0_24.0_66.0_18.0_-8.0_2.0_9.0_0.0_Perspective.png
72,50,9,30,40,"9,882",23.9,18.4,27,159.3,https://harrssaty.github.io/Prism/img/BoxBuilding.gif,https://tt-acm.github.io/DesignExplorer/design_explorer_data/AIAbuilding/10.0_12.0_24.0_66.0_18.0_-8.0_2.0_9.0_0.0_Perspective.png
93,50,7,30,40,"9,009",21.8,18,27.7,156,https://harrssaty.github.io/Prism/img/BoxBuilding.gif,https://tt-acm.github.io/DesignExplorer/design_explorer_data/AIAbuilding/10.0_12.0_24.0_66.0_18.0_-8.0_2.0_9.0_0.0_Perspective.png
130,50,5,30,40,"8,100",19.6,17.2,28.9,152.9,https://harrssaty.github.io/Prism/img/BoxBuilding.gif,https://tt-acm.github.io/DesignExplorer/design_explorer_data/AIAbuilding/10.0_12.0_24.0_66.0_18.0_-8.0_2.0_9.0_0.0_Perspective.png
50,50,13,45,40,"11,700",28.3,19.7,23.4,164.1,https://harrssaty.github.io/Prism/img/BoxBuilding.gif,https://tt-acm.github.io/DesignExplorer/design_explorer_data/AIAbuilding/10.0_12.0_24.0_66.0_18.0_-8.0_2.0_9.0_0.0_Perspective.png
59,50,11,45,40,"10,791",26.1,19,25.6,162.2,https://harrssaty.github.io/Prism/img/BoxBuilding.gif,https://tt-acm.github.io/DesignExplorer/design_explorer_data/AIAbuilding/10.0_12.0_24.0_66.0_18.0_-8.0_2.0_9.0_0.0_Perspective.png
72,50,9,45,40,"9,882",23.9,18.4,26.8,159.1,https://harrssaty.github.io/Prism/img/BoxBuilding.gif,https://tt-acm.github.io/DesignExplorer/design_explorer_data/AIAbuilding/10.0_12.0_24.0_66.0_18.0_-8.0_2.0_9.0_0.0_Perspective.png
93,50,7,45,40,"9,009",21.8,18,27.5,155.8,https://harrssaty.github.io/Prism/img/BoxBuilding.gif,https://tt-acm.github.io/DesignExplorer/design_explorer_data/AIAbuilding/10.0_12.0_24.0_66.0_18.0_-8.0_2.0_9.0_0.0_Perspective.png
130,50,5,45,40,"8,100",19.6,17.2,28.7,152.7,https://harrssaty.github.io/Prism/img/BoxBuilding.gif,https://tt-acm.github.io/DesignExplorer/design_explorer_data/AIAbuilding/10.0_12.0_24.0_66.0_18.0_-8.0_2.0_9.0_0.0_Perspective.png
50,50,13,60,40,"11,700",28.4,19.8,23.5,164.6,https://harrssaty.github.io/Prism/img/BoxBuilding.gif,https://tt-acm.github.io/DesignExplorer/design_explorer_data/AIAbuilding/10.0_12.0_24.0_66.0_18.0_-8.0_2.0_9.0_0.0_Perspective.png
59,50,11,60,40,"10,791",26.2,19.1,25.6,162.7,https://harrssaty.github.io/Prism/img/BoxBuilding.gif,https://tt-acm.github.io/DesignExplorer/design_explorer_data/AIAbuilding/10.0_12.0_24.0_66.0_18.0_-8.0_2.0_9.0_0.0_Perspective.png
72,50,9,60,40,"9,882",24,18.4,26.7,159.5,https://harrssaty.github.io/Prism/img/BoxBuilding.gif,https://tt-acm.github.io/DesignExplorer/design_explorer_data/AIAbuilding/10.0_12.0_24.0_66.0_18.0_-8.0_2.0_9.0_0.0_Perspective.png
93,50,7,60,40,"9,009",21.7,17.9,27.4,155.3,https://harrssaty.github.io/Prism/img/BoxBuilding.gif,https://tt-acm.github.io/DesignExplorer/design_explorer_data/AIAbuilding/10.0_12.0_24.0_66.0_18.0_-8.0_2.0_9.0_0.0_Perspective.png
130,50,5,60,40,"8,100",19.5,17.1,28.6,152.2,https://harrssaty.github.io/Prism/img/BoxBuilding.gif,https://tt-acm.github.io/DesignExplorer/design_explorer_data/AIAbuilding/10.0_12.0_24.0_66.0_18.0_-8.0_2.0_9.0_0.0_Perspective.png
50,50,13,75,40,"11,700",28.4,19.8,23.7,164.7,https://harrssaty.github.io/Prism/img/BoxBuilding.gif,https://tt-acm.github.io/DesignExplorer/design_explorer_data/AIAbuilding/10.0_12.0_24.0_66.0_18.0_-8.0_2.0_9.0_0.0_Perspective.png
59,50,11,75,40,"10,791",26.2,19.1,25.9,162.8,https://harrssaty.github.io/Prism/img/BoxBuilding.gif,https://tt-acm.github.io/DesignExplorer/design_explorer_data/AIAbuilding/10.0_12.0_24.0_66.0_18.0_-8.0_2.0_9.0_0.0_Perspective.png
72,50,9,75,40,"9,882",24,18.5,27.1,159.7,https://harrssaty.github.io/Prism/img/BoxBuilding.gif,https://tt-acm.github.io/DesignExplorer/design_explorer_data/AIAbuilding/10.0_12.0_24.0_66.0_18.0_-8.0_2.0_9.0_0.0_Perspective.png
93,50,7,75,40,"9,009",21.9,18,27.9,156.4,https://harrssaty.github.io/Prism/img/BoxBuilding.gif,https://tt-acm.github.io/DesignExplorer/design_explorer_data/AIAbuilding/10.0_12.0_24.0_66.0_18.0_-8.0_2.0_9.0_0.0_Perspective.png
130,50,5,75,40,"8,100",19.7,17.2,29.1,153.3,https://harrssaty.github.io/Prism/img/BoxBuilding.gif,https://tt-acm.github.io/DesignExplorer/design_explorer_data/AIAbuilding/10.0_12.0_24.0_66.0_18.0_-8.0_2.0_9.0_0.0_Perspective.png
50,50,13,0,30,11700,28.1,19.1,25.5,164.4,https://harrssaty.github.io/Prism/img/BoxBuilding.gif,https://tt-acm.github.io/DesignExplorer/design_explorer_data/AIAbuilding/10.0_12.0_24.0_66.0_18.0_-8.0_2.0_9.0_0.0_Perspective.png
59,50,11,0,30,10791,26.4,18.1,26.7,163,https://harrssaty.github.io/Prism/img/BoxBuilding.gif,https://tt-acm.github.io/DesignExplorer/design_explorer_data/AIAbuilding/10.0_12.0_24.0_66.0_18.0_-8.0_2.0_9.0_0.0_Perspective.png
72,50,9,0,30,9882,23.9,17.4,27.6,159.4,https://harrssaty.github.io/Prism/img/BoxBuilding.gif,https://tt-acm.github.io/DesignExplorer/design_explorer_data/AIAbuilding/10.0_12.0_24.0_66.0_18.0_-8.0_2.0_9.0_0.0_Perspective.png
93,50,7,0,30,9009,21.8,17.3,28.7,155.6,https://harrssaty.github.io/Prism/img/BoxBuilding.gif,https://tt-acm.github.io/DesignExplorer/design_explorer_data/AIAbuilding/10.0_12.0_24.0_66.0_18.0_-8.0_2.0_9.0_0.0_Perspective.png
130,50,5,0,30,8100,19.6,16.6,29.7,152.9,https://harrssaty.github.io/Prism/img/BoxBuilding.gif,https://tt-acm.github.io/DesignExplorer/design_explorer_data/AIAbuilding/10.0_12.0_24.0_66.0_18.0_-8.0_2.0_9.0_0.0_Perspective.png
50,50,13,0,50,11700,29,20.6,23.7,168.3,https://harrssaty.github.io/Prism/img/BoxBuilding.gif,https://tt-acm.github.io/DesignExplorer/design_explorer_data/AIAbuilding/10.0_12.0_24.0_66.0_18.0_-8.0_2.0_9.0_0.0_Perspective.png
59,50,11,0,50,10791,26.8,19.3,24.8,167.2,https://harrssaty.github.io/Prism/img/BoxBuilding.gif,https://tt-acm.github.io/DesignExplorer/design_explorer_data/AIAbuilding/10.0_12.0_24.0_66.0_18.0_-8.0_2.0_9.0_0.0_Perspective.png
72,50,9,0,50,9882,24.5,19.1,26,164,https://harrssaty.github.io/Prism/img/BoxBuilding.gif,https://tt-acm.github.io/DesignExplorer/design_explorer_data/AIAbuilding/10.0_12.0_24.0_66.0_18.0_-8.0_2.0_9.0_0.0_Perspective.png
93,50,7,0,50,9009,22.4,18.8,26.1,160,https://harrssaty.github.io/Prism/img/BoxBuilding.gif,https://tt-acm.github.io/DesignExplorer/design_explorer_data/AIAbuilding/10.0_12.0_24.0_66.0_18.0_-8.0_2.0_9.0_0.0_Perspective.png
130,50,5,0,50,8100,20.1,18,27.8,156.3,https://harrssaty.github.io/Prism/img/BoxBuilding.gif,https://tt-acm.github.io/DesignExplorer/design_explorer_data/AIAbuilding/10.0_12.0_24.0_66.0_18.0_-8.0_2.0_9.0_0.0_Perspective.png
50,50,13,0,60,11700,29.1,22.9,23.6,172.8,https://harrssaty.github.io/Prism/img/BoxBuilding.gif,https://tt-acm.github.io/DesignExplorer/design_explorer_data/AIAbuilding/10.0_12.0_24.0_66.0_18.0_-8.0_2.0_9.0_0.0_Perspective.png
59,50,11,0,60,10791,27.2,22,24.6,170.6,https://harrssaty.github.io/Prism/img/BoxBuilding.gif,https://tt-acm.github.io/DesignExplorer/design_explorer_data/AIAbuilding/10.0_12.0_24.0_66.0_18.0_-8.0_2.0_9.0_0.0_Perspective.png
72,50,9,0,60,9882,25.7,20.9,25.1,167.1,https://harrssaty.github.io/Prism/img/BoxBuilding.gif,https://tt-acm.github.io/DesignExplorer/design_explorer_data/AIAbuilding/10.0_12.0_24.0_66.0_18.0_-8.0_2.0_9.0_0.0_Perspective.png
93,50,7,0,60,9009,22.2,19.3,25.6,164.7,https://harrssaty.github.io/Prism/img/BoxBuilding.gif,https://tt-acm.github.io/DesignExplorer/design_explorer_data/AIAbuilding/10.0_12.0_24.0_66.0_18.0_-8.0_2.0_9.0_0.0_Perspective.png
130,50,5,0,60,8100,20.2,19,27.5,160.5,https://harrssaty.github.io/Prism/img/BoxBuilding.gif,https://tt-acm.github.io/DesignExplorer/design_explorer_data/AIAbuilding/10.0_12.0_24.0_66.0_18.0_-8.0_2.0_9.0_0.0_Perspective.png
50,50,13,0,70,11700,30.8,23.3,23.5,178.8,https://harrssaty.github.io/Prism/img/BoxBuilding.gif,https://tt-acm.github.io/DesignExplorer/design_explorer_data/AIAbuilding/10.0_12.0_24.0_66.0_18.0_-8.0_2.0_9.0_0.0_Perspective.png
59,50,11,0,70,10791,28.4,22.9,24.5,177.8,https://harrssaty.github.io/Prism/img/BoxBuilding.gif,https://tt-acm.github.io/DesignExplorer/design_explorer_data/AIAbuilding/10.0_12.0_24.0_66.0_18.0_-8.0_2.0_9.0_0.0_Perspective.png
72,50,9,0,70,9882,26,21.7,25.1,173.9,https://harrssaty.github.io/Prism/img/BoxBuilding.gif,https://tt-acm.github.io/DesignExplorer/design_explorer_data/AIAbuilding/10.0_12.0_24.0_66.0_18.0_-8.0_2.0_9.0_0.0_Perspective.png
93,50,7,0,70,9009,23.7,21.2,25.3,169.2,https://harrssaty.github.io/Prism/img/BoxBuilding.gif,https://tt-acm.github.io/DesignExplorer/design_explorer_data/AIAbuilding/10.0_12.0_24.0_66.0_18.0_-8.0_2.0_9.0_0.0_Perspective.png
130,50,5,0,70,8100,21.3,20.2,27.3,166.8,https://harrssaty.github.io/Prism/img/BoxBuilding.gif,https://tt-acm.github.io/DesignExplorer/design_explorer_data/AIAbuilding/10.0_12.0_24.0_66.0_18.0_-8.0_2.0_9.0_0.0_Perspective.png
50,50,13,0,80,11700,31.2,24.9,23.5,184.8,https://harrssaty.github.io/Prism/img/BoxBuilding.gif,https://tt-acm.github.io/DesignExplorer/design_explorer_data/AIAbuilding/10.0_12.0_24.0_66.0_18.0_-8.0_2.0_9.0_0.0_Perspective.png
59,50,11,0,80,10791,29.9,23.9,24.4,182.8,https://harrssaty.github.io/Prism/img/BoxBuilding.gif,https://tt-acm.github.io/DesignExplorer/design_explorer_data/AIAbuilding/10.0_12.0_24.0_66.0_18.0_-8.0_2.0_9.0_0.0_Perspective.png
72,50,9,0,80,9882,27.5,23.4,25.1,179.4,https://harrssaty.github.io/Prism/img/BoxBuilding.gif,https://tt-acm.github.io/DesignExplorer/design_explorer_data/AIAbuilding/10.0_12.0_24.0_66.0_18.0_-8.0_2.0_9.0_0.0_Perspective.png
93,50,7,0,80,9009,24.6,22.7,25.3,176,https://harrssaty.github.io/Prism/img/BoxBuilding.gif,https://tt-acm.github.io/DesignExplorer/design_explorer_data/AIAbuilding/10.0_12.0_24.0_66.0_18.0_-8.0_2.0_9.0_0.0_Perspective.png
130,50,5,0,80,8100,22.1,21.7,27.3,172,https://harrssaty.github.io/Prism/img/BoxBuilding.gif,https://tt-acm.github.io/DesignExplorer/design_explorer_data/AIAbuilding/10.0_12.0_24.0_66.0_18.0_-8.0_2.0_9.0_0.0_Perspective.png
55.6,45,13,0,40,"11,765",28.6,19.9,23.5,165.1,https://harrssaty.github.io/Prism/img/BoxBuilding.gif,https://tt-acm.github.io/DesignExplorer/design_explorer_data/AIAbuilding/10.0_12.0_24.0_66.0_18.0_-8.0_2.0_9.0_0.0_Perspective.png
62.5,40,13,0,40,"11,993",29.2,20.3,22.9,166.1,https://harrssaty.github.io/Prism/img/BoxBuilding.gif,https://tt-acm.github.io/DesignExplorer/design_explorer_data/AIAbuilding/10.0_12.0_24.0_66.0_18.0_-8.0_2.0_9.0_0.0_Perspective.png
71.4,35,13,0,40,"12,452",30.5,21.4,21.9,168.9,https://harrssaty.github.io/Prism/img/BoxBuilding.gif,https://tt-acm.github.io/DesignExplorer/design_explorer_data/AIAbuilding/10.0_12.0_24.0_66.0_18.0_-8.0_2.0_9.0_0.0_Perspective.png
83.3,30,13,0,40,"13,260",32.9,23.2,20.3,173.4,https://harrssaty.github.io/Prism/img/BoxBuilding.gif,https://tt-acm.github.io/DesignExplorer/design_explorer_data/AIAbuilding/10.0_12.0_24.0_66.0_18.0_-8.0_2.0_9.0_0.0_Perspective.png
